ParticipantID,List_7,List_30,List_180,List_365,List_1825,List_5475,Indiff_Avg,k_7,k_30,k_180,k_365,k_1825,k_5475,k_avg,ln_k
DelayDiscountingTitrated Backup1-3026-1,937.0,901.0,911.0,951.0,701.0,49.0,741.6666666666666,0.0096051227321238,0.003662597114317425,0.0005427491157458227,0.00014116359131699868,0.00023371699919879624,0.0035448700027956386,0.0029550365925830806,-5.824244244923902
DelayDiscountingTitrated-1127-1,209.0,693.0,355.0,323.0,881.0,575.0,506.0,0.5406698564593302,0.014766714766714767,0.010093896713615023,0.005742397896433267,7.401303002503382e-05,0.00013500099265435775,0.09524697997646213,-2.3512819717618436
DelayDiscountingTitrated-2115-1,925.0,725.0,399.0,49.0,99.0,6.0,367.1666666666667,0.011583011583011582,0.01264367816091954,0.008368142578668894,0.05317305004193458,0.0049868548498685486,0.03025875190258752,0.020168914852831777,-3.9036127285212103
DelayDiscountingTitrated-3150-1,923.0,125.0,147.0,99.0,1.0,1.0,216.0,0.011917659804983749,0.23333333333333334,0.032237339380196524,0.024934274249342744,0.5473972602739726,0.18246575342465754,0.17204760341108108,-1.7599840764428665
DelayDiscountingTitrated-1082-1,799.0,601.0,1.0,1.0,1.0,1.0,234.0,0.03593777936706598,0.022129783693843594,5.55,2.736986301369863,0.5473972602739726,0.18246575342465754,1.5124861463549006,0.41375475144613516
DelayDiscountingTitrated Backup1-3087-1,999.0,999.0,901.0,994.0,299.0,63.0,709.1666666666666,0.000143000143000143,3.33667000333667e-05,0.0006104328523862375,1.6537581654309418e-05,0.0012846474549869427,0.0027165325795462784,0.0008007528852678796,-7.129958166274655
DelayDiscountingTitrated-3131-1,985.0,950.0,601.0,499.0,199.0,185.0,569.8333333333334,0.002175489485134155,0.0017543859649122807,0.0036882972823072658,0.0027507068932385316,0.0022055482893921664,0.0008046402566950512,0.0022298446952799087,-6.10582333930756
DelayDiscountingTitrated Backup1-1048-1,974.0,677.0,637.0,937.0,455.0,369.0,674.8333333333334,0.0038134350249339984,0.015903495814869523,0.003165881737310309,0.00018420783321881258,0.0006563299713984646,0.0003123337169444754,0.004005947349779264,-5.519975184665801
DelayDiscountingTitrated-1103-1,49.0,275.0,237.0,49.0,1.0,1.0,102.0,2.772594752186589,0.08787878787878788,0.017885607126113454,0.05317305004193458,0.5473972602739726,0.18246575342465754,0.6102325351553425,-0.4939151892823194
DelayDiscountingTitrated-2094-1,999.0,999.0,499.0,999.0,399.0,151.0,674.3333333333334,0.000143000143000143,3.33667000333667e-05,0.005577822311289245,2.7424684958931536e-06,0.0008253510488550142,0.001026943663249569,0.0012682043891538719,-6.670153245772403
DelayDiscountingTitrated-3011-1,937.0,945.0,483.0,799.0,345.0,801.0,718.3333333333334,0.0096051227321238,0.0019400352733686067,0.005946629859673338,0.0006892176864916762,0.0010403017669247568,4.537706861856469e-05,0.0032111140645334573,-5.741137341449489
DelayDiscountingTitrated-3054-1,999.0,999.0,999.0,699.0,799.0,425.0,820.0,0.000143000143000143,3.33667000333667e-05,5.561116672227784e-06,0.0011797675740294355,0.00013784353729833526,0.00024711254364759603,0.0002911086024468507,-8.141814156131469
DelayDiscountingTitrated-2054-1,944.0,711.0,787.0,399.0,199.0,30.0,511.6666666666667,0.00847457627118644,0.013548992030004689,0.0015036001694197375,0.004126755244275071,0.0022055482893921664,0.005905631659056316,0.005960850610555737,-5.122542088196491
DelayDiscountingTitrated-1066-1,990.0,949.0,341.0,863.0,201.0,14.0,559.6666666666666,0.001443001443001443,0.001791359325605901,0.010736396220267189,0.00043492753853235764,0.0021781503441695633,0.012863666014350945,0.004907916814321233,-5.316905701274412
DelayDiscountingTitrated-1023-1,999.0,699.0,251.0,1.0,1.0,1.0,325.3333333333333,0.000143000143000143,0.01435383881735813,0.016578131916777334,2.736986301369863,0.5473972602739726,0.18246575342465754,0.5829873809909382,-0.5395897378214093
DelayDiscountingTitrated-3149-1,799.0,625.0,449.0,399.0,375.0,411.0,509.6666666666667,0.03593777936706598,0.02,0.006817619401138332,0.004126755244275071,0.0009132420091324201,0.000261751602617516,0.011342857937371553,-4.479166989739012
DelayDiscountingTitrated-1064-1,855.0,801.0,47.0,13.0,401.0,405.0,420.3333333333333,0.02422723475355054,0.008281315022888057,0.11264775413711584,0.20800842992623814,0.0008185016909780344,0.00026833530638705676,0.059041928472859606,-2.8295074353876735
DelayDiscountingTitrated-1099-1,871.0,967.0,547.0,171.0,533.0,673.0,627.0,0.02115794653108086,0.001137538779731127,0.004600853138330287,0.013282063606504847,0.0004800945796602329,8.87459545278756e-05,0.006791207098305871,-4.992126577319913
